Question,Answer
what is the largest city in the world?,"Tokyo is the largest city in the world by population."
what is the most populated country in the world?,"China is the most populated country in the world."
what is the least populated country in the world?,"Vatican City is the least populated country in the world."
what continent is egypt in?,"Egypt is in Africa."
what continent is brazil in?,"Brazil is in South America."
what continent is france in?,"France is in Europe."
what continent is japan in?,"Japan is in Asia."
what continent is australia in?,"Australia is in Oceania."
what continent is canada in?,"Canada is in North America."
how many continents are there on earth?,"There are seven continents on Earth."
how many oceans are there on earth?,"There are five oceans on Earth."
what is the equator?,"The equator is an imaginary line that divides the Earth into the Northern and Southern Hemispheres."
what is the prime meridian?,"The prime meridian is the Earth's zero-degree longitude line passing through Greenwich, England."

who discovered america?,"Christopher Columbus is often credited with discovering America in 1492."
who was the first president of the united states?,"George Washington was the first president of the United States."
who was the sixteenth president of the united states?,"Abraham Lincoln was the sixteenth president of the United States."
who was the first man to walk on the moon?,"Neil Armstrong was the first man to walk on the moon."
who was the first man in space?,"Yuri Gagarin was the first man in space."
who was the first woman in space?,"Valentina Tereshkova was the first woman in space."
who invented the telephone?,"Alexander Graham Bell invented the telephone."
who invented the light bulb?,"Thomas Edison is credited with inventing the practical light bulb."
who discovered penicillin?,"Alexander Fleming discovered penicillin."
who developed the theory of relativity?,"Albert Einstein developed the theory of relativity."
who discovered gravity?,"Sir Isaac Newton discovered gravity."
who invented the airplane?,"The Wright brothers invented the airplane."
who invented the world wide web?,"Tim Berners-Lee invented the World Wide Web."
who invented the computer?,"Charles Babbage is known as the father of computers."
who discovered electricity?,"Benjamin Franklin is credited with discovering electricity."
who painted the mona lisa?,"Leonardo da Vinci painted the Mona Lisa."
who painted the last supper?,"Leonardo da Vinci painted The Last Supper."
who painted starry night?,"Vincent van Gogh painted Starry Night."
who painted the ceiling of the sistine chapel?,"Michelangelo painted the ceiling of the Sistine Chapel."
who wrote the play romeo and juliet?,"William Shakespeare wrote Romeo and Juliet."
who wrote the novel 1984?,"George Orwell wrote the novel 1984."
who wrote pride and prejudice?,"Jane Austen wrote Pride and Prejudice."
who wrote the harry potter series?,"J.K. Rowling wrote the Harry Potter series."
who was the first woman to win a nobel prize?,"Marie Curie was the first woman to win a Nobel Prize."
who was the greek god of the sea?,"Poseidon was the Greek god of the sea."
who was the king of the greek gods?,"Zeus was the king of the Greek gods."
who was the egyptian god of the sun?,"Ra was the Egyptian god of the sun."
who built the pyramids of giza?,"The ancient Egyptians built the pyramids of Giza."
when did the first man walk on the moon?,"The first man walked on the moon on July 20, 1969."
when did world war one begin?,"World War I began in 1914."
when did world war two end?,"World War II ended in 1945."
when was the internet launched?,"The Internet became publicly available in 1991."
when was the united nations founded?,"The United Nations was founded in 1945."
when was the declaration of independence signed?,"The Declaration of Independence was signed in 1776."
when was the berlin wall torn down?,"The Berlin Wall was torn down in 1989."
when was the printing press invented?,"The printing press was invented by Johannes Gutenberg around 1440."
what year did the titanic sink?,"The Titanic sank in 1912."
what year did world war two start?,"World War II started in 1939."

what is the speed of light in a vacuum?,"The speed of light in a vacuum is approximately 299,792,458 meters per second."
what is the chemical symbol for water?,"The chemical symbol for water is H₂O."
what is the chemical symbol for oxygen?,"The chemical symbol for oxygen is O."
what is the chemical symbol for gold?,"The chemical symbol for gold is Au."
what is the chemical symbol for iron?,"The chemical symbol for iron is Fe."
what is the chemical formula for table salt?,"The chemical formula for table salt is NaCl."
what is the freezing point of water?,"The freezing point of water is 0 degrees Celsius."
what is the boiling point of water?,"The boiling point of water is 100 degrees Celsius at standard atmospheric pressure."
what is the powerhouse of the cell?,"The mitochondrion is the powerhouse of the cell."
what is the process of photosynthesis?,"Photosynthesis is the process by which plants convert light energy into chemical energy."
what is dna?,"DNA is deoxyribonucleic acid, the molecule that carries genetic information in living organisms."
what is the main gas in the earth's atmosphere?,"Nitrogen is the main gas in the Earth's atmosphere."
what gas do humans exhale?,"Humans exhale carbon dioxide."
what is the hardest natural substance on earth?,"Diamond is the hardest natural substance on Earth."
what is the largest planet in our solar system?,"Jupiter is the largest planet in the solar system."
what is the smallest planet in our solar system?,"Mercury is the smallest planet in our solar system."
how many planets are in our solar system?,"There are eight planets in our solar system."
what planet is known as the red planet?,"Mars is known as the Red Planet."
what planet is closest to the sun?,"Mercury is the closest planet to the Sun."
what planet is farthest from the sun?,"Neptune is the farthest planet from the Sun."
what planet has rings?,"Saturn is the planet most famous for its rings."
what is the sun made of?,"The Sun is mostly made of hydrogen and helium."
what type of galaxy is the milky way?,"The Milky Way is a spiral galaxy."
what is the great red spot on jupiter?,"The Great Red Spot is a massive storm on Jupiter."
what is the name of our galaxy?,"Our galaxy is called the Milky Way."
what causes the tides on earth?,"The gravitational pull of the Moon and the Sun causes tides on Earth."
what is the main source of energy for the earth?,"The Sun is the main source of energy for the Earth."
what is the largest organ of the human body?,"The skin is the largest organ of the human body."
what organ pumps blood through the body?,"The heart pumps blood through the body."
what organ filters blood in the human body?,"The kidneys filter blood in the human body."
how many chambers does the human heart have?,"The human heart has four chambers."
how many bones are in the human body?,"The adult human body has 206 bones."
what is the largest bone in the human body?,"The femur is the largest bone in the human body."
what is the smallest bone in the human body?,"The stapes is the smallest bone in the human body."
how many teeth does a normal adult human have?,"A normal adult human has 32 teeth."
what is the main function of the lungs?,"The main function of the lungs is to exchange oxygen and carbon dioxide."
what is the main function of the heart?,"The main function of the heart is to pump blood throughout the body."
what is the main function of the brain?,"The brain controls and coordinates body functions."
what is the main function of the stomach?,"The main function of the stomach is to digest food."
what is the smallest unit of life?,"The cell is the smallest unit of life."
what organ helps in digestion of fats?,"The liver produces bile which helps in digestion of fats."
what is the largest internal organ in the human body?,"The liver is the largest internal organ in the human body."
what is the longest bone in the human body?,"The femur is the longest bone in the human body."
what is the largest muscle in the human body?,"The gluteus maximus is the largest muscle in the human body."
what part of the eye controls the amount of light entering?,"The iris controls the amount of light entering the eye."
what part of the brain controls balance?,"The cerebellum controls balance and coordination."
what is the chemical symbol for carbon dioxide?,"The chemical symbol for carbon dioxide is CO₂."

how many sides does a triangle have?,"A triangle has three sides."
how many sides does a square have?,"A square has four sides."
how many sides does a pentagon have?,"A pentagon has five sides."
what is the sum of angles in a triangle?,"The sum of angles in a triangle is 180 degrees."
what is the sum of angles in a square?,"The sum of angles in a square is 360 degrees."
what is the square root of 64?,"The square root of 64 is 8."
what is the value of pi?,"The value of pi is approximately 3.14159."
what is the smallest prime number?,"The smallest prime number is 2."
what is the largest single-digit prime number?,"The largest single-digit prime number is 7."
what is the roman numeral for 10?,"The Roman numeral for 10 is X."
what is 12 multiplied by 8?,"12 multiplied by 8 equals 96."
what is 15 divided by 3?,"15 divided by 3 equals 5."
what is 9 squared?,"9 squared equals 81."
what is 100 divided by 25?,"100 divided by 25 equals 4."
what is the square root of 49?,"The square root of 49 is 7."
what is the cube root of 27?,"The cube root of 27 is 3."
what is 7 plus 5?,"7 plus 5 equals 12."
what is 50 percent of 200?,"50 percent of 200 is 100."

what language has the most native speakers?,"Mandarin Chinese has the most native speakers."
what is the most widely spoken language in the world?,"English is the most widely spoken language in the world."
who wrote hamlet?,"William Shakespeare wrote Hamlet."
who wrote macbeth?,"William Shakespeare wrote Macbeth."
what is the main language spoken in brazil?,"The main language spoken in Brazil is Portuguese."
what is the main language spoken in egypt?,"The main language spoken in Egypt is Arabic."
what is the main language spoken in mexico?,"The main language spoken in Mexico is Spanish."
what is the main language spoken in japan?,"The main language spoken in Japan is Japanese."
what is the main language spoken in france?,"The main language spoken in France is French."
what is the main language spoken in germany?,"The main language spoken in Germany is German."
what is the alphabet used in russia called?,"The alphabet used in Russia is called the Cyrillic alphabet."

what does cpu stand for?,"CPU stands for Central Processing Unit."
what does gpu stand for?,"GPU stands for Graphics Processing Unit."
what does ai stand for?,"AI stands for Artificial Intelligence."
what does html stand for?,"HTML stands for HyperText Markup Language."
what does www stand for?,"WWW stands for World Wide Web."
who is known as the father of computers?,"Charles Babbage is known as the father of computers."
what is the binary system?,"The binary system is a base-2 numeral system that uses 0 and 1."
what is the main function of the cpu?,"The main function of the CPU is to process instructions and manage tasks in a computer."
what is the brain of the computer?,"The CPU is often called the brain of the computer."
what is the largest social media platform?,"Facebook is one of the largest social media platforms."
what company developed windows?,"Microsoft developed the Windows operating system."
what company developed the iphone?,"Apple developed the iPhone."
what is the most popular programming language?,"Python is one of the most popular programming languages."
what does usb stand for?,"USB stands for Universal Serial Bus."
what is the internet?,"The Internet is a global network connecting computers worldwide."
what is an operating system?,"An operating system is software that manages computer hardware and software resources."
what is a search engine?,"A search engine is a system that searches the web for information based on keywords."
what is a website?,"A website is a collection of web pages under a single domain name."

what is the main ingredient in bread?,"The main ingredient in bread is flour."
what is the main ingredient in chocolate?,"The main ingredient in chocolate is cocoa beans."
what is the main ingredient in sushi?,"The main ingredient in sushi is rice."
what is the main ingredient in guacamole?,"The main ingredient in guacamole is avocado."
how many colors are there in a rainbow?,"There are seven colors in a rainbow."
what color is chlorophyll?,"Chlorophyll is green."
what is the chemical element symbol for hydrogen?,"The chemical element symbol for hydrogen is H."
what is the national flower of japan?,"The cherry blossom is the national flower of Japan."
what is the national animal of china?,"The giant panda is the national animal of China."
what is the currency of japan?,"The currency of Japan is the yen."
what is the currency of the united kingdom?,"The currency of the United Kingdom is the pound sterling."
what is the currency of the european union?,"The currency of the European Union is the euro."
what is the currency of the united states?,"The currency of the United States is the dollar."
what is the currency of india?,"The currency of India is the rupee."
what is the currency of mexico?,"The currency of Mexico is the peso."
what is the time taken by the earth to orbit the sun?,"The Earth takes approximately 365 days to orbit the Sun."
how long does it take for the moon to orbit the earth?,"The Moon takes about 27 days to orbit the Earth."
what causes day and night?,"Day and night are caused by the rotation of the Earth on its axis."
what is dna?,"DNA stands for deoxyribonucleic acid, the molecule that carries genetic information in living organisms."
what is rna?,"RNA stands for ribonucleic acid, which helps translate genetic information into proteins."
what organ produces insulin?,"The pancreas produces insulin."
what gas is essential for human respiration?,"Oxygen is essential for human respiration."
what gas do plants release during photosynthesis?,"Plants release oxygen during photosynthesis."
what part of the plant conducts photosynthesis?,"The leaves conduct photosynthesis."
what is the largest organ in the human body?,"The skin is the largest organ in the human body."
what is the average normal human body temperature?,"The average normal human body temperature is 37 degrees Celsius."
what blood type is known as the universal donor?,"Type O negative is known as the universal donor."
what blood type is known as the universal recipient?,"Type AB positive is known as the universal recipient."
what is the main function of red blood cells?,"Red blood cells carry oxygen throughout the body."
what is the main function of white blood cells?,"White blood cells help defend the body against infection."
what part of the brain controls balance and coordination?,"The cerebellum controls balance and coordination."
what part of the brain controls breathing and heartbeat?,"The medulla oblongata controls breathing and heartbeat."
what organ removes waste from the blood?,"The kidneys remove waste from the blood."
what organ stores bile produced by the liver?,"The gallbladder stores bile produced by the liver."
what is the function of the liver?,"The liver detoxifies chemicals and metabolizes drugs in the body."
what part of the eye controls the amount of light entering?,"The iris controls the amount of light entering the eye."
what is the transparent front part of the eye called?,"The cornea is the transparent front part of the eye."
what is the name of the colored part of the eye?,"The iris is the colored part of the eye."
what is the main function of the lungs?,"The main function of the lungs is to exchange oxygen and carbon dioxide."
what is the human body's largest internal organ?,"The liver is the body's largest internal organ."
what is the main function of the digestive system?,"The digestive system breaks down food into nutrients the body can use."
what is the smallest bone in the human body?,"The stapes bone in the ear is the smallest bone in the human body."
how many ribs does an average human have?,"An average human has 24 ribs, 12 on each side."
how many pairs of chromosomes do humans have?,"Humans have 23 pairs of chromosomes."
what is the scientific term for the voice box?,"The scientific term for the voice box is the larynx."
what is the normal human heart rate at rest?,"The normal resting heart rate for adults is 60 to 100 beats per minute."
what is the process of cell division called?,"The process of cell division is called mitosis."
what is the process by which gametes are produced?,"Gametes are produced by a process called meiosis."
what are the building blocks of proteins?,"Amino acids are the building blocks of proteins."
what are the building blocks of carbohydrates?,"Monosaccharides are the building blocks of carbohydrates."
what is the chemical symbol for sodium?,"The chemical symbol for sodium is Na."
what is the chemical symbol for potassium?,"The chemical symbol for potassium is K."
what is the chemical symbol for carbon?,"The chemical symbol for carbon is C."
what is the atomic number of oxygen?,"The atomic number of oxygen is 8."
what is the atomic number of hydrogen?,"The atomic number of hydrogen is 1."
what is the atomic number of carbon?,"The atomic number of carbon is 6."
what is the pH of pure water?,"The pH of pure water is 7."
what element does 'Fe' represent?,"'Fe' represents iron."
what element does 'Na' represent?,"'Na' represents sodium."
what is the freezing point of water in fahrenheit?,"The freezing point of water is 32 degrees Fahrenheit."
what is the boiling point of water in fahrenheit?,"The boiling point of water is 212 degrees Fahrenheit."
what are the three states of matter?,"The three main states of matter are solid, liquid, and gas."
what is sublimation?,"Sublimation is the process where a solid turns directly into a gas without becoming a liquid."
what is condensation?,"Condensation is the process by which gas changes into liquid."
what is evaporation?,"Evaporation is the process where liquid turns into vapor."
what is the periodic table?,"The periodic table is a chart organizing chemical elements by their atomic number and properties."
who created the periodic table?,"Dmitri Mendeleev created the periodic table."
what is newton's first law of motion?,"Newton's first law of motion states that an object will remain at rest or in uniform motion unless acted upon by an external force."
what is newton's second law of motion?,"Newton's second law of motion states that force equals mass times acceleration."
what is newton's third law of motion?,"Newton's third law of motion states that for every action there is an equal and opposite reaction."
what is gravity?,"Gravity is the force that attracts objects toward one another."
who formulated the law of universal gravitation?,"Sir Isaac Newton formulated the law of universal gravitation."
what is einstein's theory of relativity?,"Einstein's theory of relativity explains how space and time are linked for objects moving at a constant speed in a straight line."
what is the speed of sound in air?,"The speed of sound in air is approximately 343 meters per second."
what is energy measured in?,"Energy is measured in joules."
what is power measured in?,"Power is measured in watts."
what is force measured in?,"Force is measured in newtons."
what is work measured in?,"Work is measured in joules."
what is the formula for force?,"The formula for force is mass multiplied by acceleration."
what is the unit of electric current?,"The unit of electric current is the ampere."
what is the unit of voltage?,"The unit of voltage is the volt."
what is the unit of resistance?,"The unit of resistance is the ohm."
what is the formula for ohm's law?,"Ohm's law states that voltage equals current times resistance."
what is the main component of the sun?,"The sun is mainly composed of hydrogen and helium."
what galaxy is earth located in?,"Earth is located in the Milky Way galaxy."
what is the nearest star to earth?,"The nearest star to Earth is the Sun."
what is the second nearest star to earth?,"The second nearest star to Earth is Proxima Centauri."
what is the shape of the earth?,"The Earth is an oblate spheroid."
what is the tilt of the earth's axis?,"The Earth's axis is tilted at about 23.5 degrees."
what causes the seasons on earth?,"The tilt of the Earth's axis causes the seasons."
what causes day and night?,"Day and night are caused by the Earth's rotation on its axis."
what causes the tides?,"Tides are caused by the gravitational pull of the Moon and the Sun on Earth's oceans."
what is the earth's atmosphere made of?,"The Earth's atmosphere is mainly composed of nitrogen, oxygen, argon, and carbon dioxide."
what layer of the atmosphere contains the ozone layer?,"The ozone layer is located in the stratosphere."
what is the greenhouse effect?,"The greenhouse effect is the process by which gases trap heat in Earth's atmosphere."
what are renewable energy sources?,"Renewable energy sources include solar, wind, hydro, and geothermal energy."
what is the main source of energy for life on earth?,"The Sun is the main source of energy for life on Earth."
what is the water cycle?,"The water cycle describes the continuous movement of water on, above, and below the Earth's surface."
what is the largest source of freshwater on earth?,"Glaciers and ice caps are the largest sources of freshwater on Earth."
what is the primary gas responsible for global warming?,"Carbon dioxide is the primary gas responsible for global warming."
what is climate change?,"Climate change refers to long-term shifts in temperature and weather patterns on Earth."
what is weather?,"Weather is the state of the atmosphere at a particular place and time."
what instrument measures temperature?,"A thermometer measures temperature."
what instrument measures atmospheric pressure?,"A barometer measures atmospheric pressure."
what instrument measures humidity?,"A hygrometer measures humidity."
what instrument measures wind speed?,"An anemometer measures wind speed."
what is the study of weather called?,"The study of weather is called meteorology."
what is geology?,"Geology is the study of the Earth, its materials, and its processes."
what is astronomy?,"Astronomy is the study of celestial objects and the universe beyond Earth."
what is biology?,"Biology is the study of living organisms."
what is chemistry?,"Chemistry is the study of substances, their properties, and how they interact."
what is physics?,"Physics is the study of matter, energy, and the forces that act upon them."
what is ecology?,"Ecology is the study of interactions between living organisms and their environment."
what is genetics?,"Genetics is the study of heredity and variation in living organisms."
what is botany?,"Botany is the study of plants."
what is zoology?,"Zoology is the study of animals."
what is microbiology?,"Microbiology is the study of microorganisms such as bacteria and viruses."
what is anatomy?,"Anatomy is the study of the structure of living organisms."
what is physiology?,"Physiology is the study of how the parts of organisms function."

what is a noun?,"A noun is a word that names a person, place, thing, or idea."
what is a verb?,"A verb is a word that expresses an action or a state of being."
what is an adjective?,"An adjective is a word that describes or modifies a noun."
what is an adverb?,"An adverb is a word that modifies a verb, adjective, or another adverb."
what is a pronoun?,"A pronoun is a word used in place of a noun."
what is a preposition?,"A preposition is a word that shows the relationship between a noun and another word in the sentence."
what is a conjunction?,"A conjunction is a word that connects clauses, sentences, or words."
what is an interjection?,"An interjection is a word or phrase that expresses strong emotion."
what is a subject in a sentence?,"The subject is the part of the sentence that tells who or what the sentence is about."
what is a predicate in a sentence?,"The predicate tells what the subject does or is."
what is a clause?,"A clause is a group of words containing a subject and a verb."
what is a phrase?,"A phrase is a group of words that acts as a single unit but does not contain both a subject and a verb."
what is a sentence?,"A sentence is a group of words that expresses a complete thought."
what is a synonym?,"A synonym is a word that has the same or nearly the same meaning as another word."
what is an antonym?,"An antonym is a word that has the opposite meaning of another word."
what is a homonym?,"A homonym is a word that is spelled or pronounced the same as another word but has a different meaning."
what is a metaphor?,"A metaphor is a figure of speech that compares two unlike things without using 'like' or 'as'."
what is a simile?,"A simile is a figure of speech comparing two different things using 'like' or 'as'."
what is a hyperbole?,"A hyperbole is an exaggerated statement used for emphasis or effect."
what is a proverb?,"A proverb is a short, commonly known saying that expresses a truth or piece of advice."
what is a fable?,"A fable is a short story that teaches a moral lesson, often featuring animals as characters."
what is a poem?,"A poem is a piece of writing that uses rhythm and language to express emotions or ideas."
who wrote hamlet?,"William Shakespeare wrote Hamlet."
who wrote macbeth?,"William Shakespeare wrote Macbeth."
who wrote the odyssey?,"Homer wrote The Odyssey."
who wrote the iliad?,"Homer wrote The Iliad."
who wrote to kill a mockingbird?,"Harper Lee wrote To Kill a Mockingbird."
who wrote the great gatsby?,"F. Scott Fitzgerald wrote The Great Gatsby."
who wrote the catcher in the rye?,"J.D. Salinger wrote The Catcher in the Rye."
who wrote animal farm?,"George Orwell wrote Animal Farm."
who wrote war and peace?,"Leo Tolstoy wrote War and Peace."
who wrote the divine comedy?,"Dante Alighieri wrote The Divine Comedy."
who wrote don quixote?,"Miguel de Cervantes wrote Don Quixote."
who wrote frankenstein?,"Mary Shelley wrote Frankenstein."
who wrote the hobbit?,"J.R.R. Tolkien wrote The Hobbit."
who wrote the lord of the rings?,"J.R.R. Tolkien wrote The Lord of the Rings."
who wrote the little prince?,"Antoine de Saint-Exupéry wrote The Little Prince."
who wrote moby dick?,"Herman Melville wrote Moby-Dick."
who wrote the odyssey?,"Homer wrote The Odyssey."
who wrote les miserables?,"Victor Hugo wrote Les Misérables."
who wrote the picture of dorian gray?,"Oscar Wilde wrote The Picture of Dorian Gray."
who wrote a tale of two cities?,"Charles Dickens wrote A Tale of Two Cities."
who wrote the canterbury tales?,"Geoffrey Chaucer wrote The Canterbury Tales."
who wrote the scarlet letter?,"Nathaniel Hawthorne wrote The Scarlet Letter."
who wrote jane eyre?,"Charlotte Brontë wrote Jane Eyre."
who wrote wuthering heights?,"Emily Brontë wrote Wuthering Heights."
who wrote crime and punishment?,"Fyodor Dostoevsky wrote Crime and Punishment."
who wrote the chronicles of narnia?,"C.S. Lewis wrote The Chronicles of Narnia."
who wrote alice's adventures in wonderland?,"Lewis Carroll wrote Alice's Adventures in Wonderland."
who wrote the time machine?,"H.G. Wells wrote The Time Machine."
who wrote brave new world?,"Aldous Huxley wrote Brave New World."
who wrote the old man and the sea?,"Ernest Hemingway wrote The Old Man and the Sea."
who wrote the adventures of tom sawyer?,"Mark Twain wrote The Adventures of Tom Sawyer."
who wrote adventures of huckleberry finn?,"Mark Twain wrote Adventures of Huckleberry Finn."
who wrote the call of the wild?,"Jack London wrote The Call of the Wild."
who wrote the jungle book?,"Rudyard Kipling wrote The Jungle Book."
who wrote the war of the worlds?,"H.G. Wells wrote The War of the Worlds."
who wrote the road not taken?,"Robert Frost wrote The Road Not Taken."
who wrote if—?,"Rudyard Kipling wrote the poem If—."
who wrote ode to a nightingale?,"John Keats wrote Ode to a Nightingale."
who wrote the raven?,"Edgar Allan Poe wrote The Raven."
who wrote annabel lee?,"Edgar Allan Poe wrote Annabel Lee."
who wrote leaves of grass?,"Walt Whitman wrote Leaves of Grass."
who wrote paradise lost?,"John Milton wrote Paradise Lost."
who wrote ulysses?,"James Joyce wrote Ulysses."
who wrote dracula?,"Bram Stoker wrote Dracula."
who wrote the trial?,"Franz Kafka wrote The Trial."
who wrote the metamorphosis?,"Franz Kafka wrote The Metamorphosis."
who wrote one hundred years of solitude?,"Gabriel García Márquez wrote One Hundred Years of Solitude."
who wrote the alchemist?,"Paulo Coelho wrote The Alchemist."
who wrote the kite runner?,"Khaled Hosseini wrote The Kite Runner."
who wrote life of pi?,"Yann Martel wrote Life of Pi."
who wrote nineteen eighty-four?,"George Orwell wrote Nineteen Eighty-Four."
who wrote the hunger games?,"Suzanne Collins wrote The Hunger Games."
who wrote the fault in our stars?,"John Green wrote The Fault in Our Stars."
who wrote the da vinci code?,"Dan Brown wrote The Da Vinci Code."
who wrote twilight?,"Stephenie Meyer wrote Twilight."
who wrote the book thief?,"Markus Zusak wrote The Book Thief."
what is a computer?,"A computer is an electronic device that processes and stores data."
what is hardware?,"Hardware refers to the physical components of a computer system."
what is software?,"Software is a set of instructions that tells a computer how to perform tasks."
what is the cpu?,"The CPU, or central processing unit, is the main part of a computer that processes data."
what is ram?,"RAM, or random access memory, is temporary memory used for active tasks."
what is rom?,"ROM, or read-only memory, is permanent memory that stores essential data."
what is an operating system?,"An operating system manages computer hardware and software resources."
what is artificial intelligence?,"Artificial intelligence is the simulation of human intelligence by machines."
what is machine learning?,"Machine learning is a subset of AI where computers learn from data."
what is a database?,"A database is an organized collection of structured information or data."
what is a network?,"A network is a group of interconnected computers that share resources."
what is the internet?,"The internet is a global network that connects millions of computers."
what is a browser?,"A browser is a program used to access and view websites on the internet."
what is an algorithm?,"An algorithm is a step-by-step procedure for solving a problem."
what is a programming language?,"A programming language is a formal language used to write software."
what is python?,"Python is a high-level programming language known for its simplicity."
what is java?,"Java is a high-level, object-oriented programming language."
what is html?,"HTML stands for HyperText Markup Language and is used to structure web pages."
what is css?,"CSS stands for Cascading Style Sheets and is used to style web pages."
what is javascript?,"JavaScript is a programming language used to create interactive web pages."
what is an ip address?,"An IP address is a unique number assigned to each device connected to a network."
what is a domain name?,"A domain name is the address used to access a website on the internet."
what is cloud computing?,"Cloud computing is the delivery of computing services over the internet."
what is cybersecurity?,"Cybersecurity is the practice of protecting systems and networks from digital attacks."
what is encryption?,"Encryption is the process of converting data into a code to prevent unauthorized access."
what is a virus in computing?,"A computer virus is a malicious program that can replicate and spread to other systems."
what is a firewall?,"A firewall is a security system that monitors and controls incoming and outgoing network traffic."
what is data?,"Data refers to information that can be processed or analyzed."
what is information technology?,"Information technology involves the use of computers and software to manage data."
what is a smartphone?,"A smartphone is a handheld device that combines mobile phone and computing functions."
what is a robot?,"A robot is a machine capable of carrying out complex tasks automatically."
what is 3d printing?,"3D printing is the process of creating a physical object from a digital model."
what is renewable energy?,"Renewable energy comes from sources that are naturally replenished, such as solar and wind."
what is dna?,"DNA, or deoxyribonucleic acid, is the molecule that carries genetic information in living organisms."
what is rna?,"RNA, or ribonucleic acid, plays a role in coding, decoding, and expressing genes."
what is the human genome?,"The human genome is the complete set of genetic information in humans."
what is evolution?,"Evolution is the process by which living organisms change over generations through natural selection."
what is gravity?,"Gravity is the force that attracts objects toward each other."
what is energy?,"Energy is the capacity to do work or cause change."
what is matter?,"Matter is anything that has mass and occupies space."
what is force?,"Force is a push or pull acting upon an object."
what is motion?,"Motion is the change in position of an object over time."
what is time?,"Time is the continuous progression of events from the past to the future."
what is temperature?,"Temperature is a measure of how hot or cold something is."
what is pressure?,"Pressure is the force applied per unit area."
what is density?,"Density is the mass per unit volume of a substance."
what is velocity?,"Velocity is the speed of something in a given direction."
what is acceleration?,"Acceleration is the rate of change of velocity over time."
what is the scientific method?,"The scientific method is a process used to investigate phenomena through observation and experimentation."
what is a hypothesis?,"A hypothesis is a proposed explanation that can be tested through experimentation."
what is a theory?,"A theory is a well-substantiated explanation based on evidence."
what is a law in science?,"A scientific law is a statement describing a consistent natural phenomenon."
what is chemistry?,"Chemistry is the study of substances, their properties, and how they interact."
what is biology?,"Biology is the study of living organisms."
what is physics?,"Physics is the study of matter, energy, and the forces that act upon them."
what is astronomy?,"Astronomy is the study of celestial objects and phenomena beyond Earth's atmosphere."
what is geology?,"Geology is the study of the Earth's physical structure and processes."
what is meteorology?,"Meteorology is the study of weather and atmospheric conditions."
what is oceanography?,"Oceanography is the study of the physical and biological aspects of the ocean."
