Question,Answer
i am nervous,"It’s okay to feel nervous, {username}. Want to tell me why?|I’m here, what’s worrying you?|We can talk it out."
i am nervous,"That’s understandable, {username}. Want to talk about it?|I’m here to listen.|Tell me what’s making you nervous."
i am disappointed,"I’m sorry you feel that way, {username}.|That must be hard.|Want to talk about it?"
i am angry,"It’s okay to feel angry, {username}. Want to tell me about it?|I’m here to listen.|That sounds frustrating."
i am angry,"I’m sorry you’re feeling angry, {username}.|Want to talk about it?|I’m here."
i am confused,"Let's figure it out, {username}, what’s confusing?|I can help!|Tell me what’s unclear."
i am confused,"Let’s break it down together, {username}.|We can figure this out.|What’s confusing you?"
i feel weird,"That happens sometimes, {username}. Want to talk about it?|I get that, tell me more.|I’m here."
i am hungry,"Maybe grab something to eat, {username}?|You should eat something!|Treat yourself to a snack!"
i am bored af,"Let’s find something fun to talk about, {username}!|We can chat about anything, your pick.|Let’s fix that boredom!"
bored af,"Same, {username}, let’s talk about something fun!|We can do better than boredom.|What do you want to talk about?"
tell me about yourself,"I’m Maila, a friendly chat assistant, {username}!|I’m a chatbot who loves chatting with you.|I’m here to help and keep you company!"
say something,"Sure, {username}! How’s your day going?|Hello! I’m here.|We can chat about anything."
you ok,"I’m okay, thank you! How are you, {username}?|Doing fine! You?|All good here."
you good,"I’m good, {username}! Thanks for asking.|All good here, how about you?|Yep, doing great!"
thats awesome,"Glad you think so, {username}!|Awesome indeed!|Nice!"
cool,"Cool, {username}!|Nice!|Good to hear!"
nice,"Glad you think so, {username}!|Nice indeed!|Happy you like it!"
really,"Yes, really, {username}!|Absolutely!|Yep!"
oh ok,"Got it, {username}!|Okay!|Alright!"
sure,"Sure, {username}!|Absolutely!|Alright!"
okay,"Okay, {username}!|Understood!|Alright then!"
alright,"Alright, {username}!|Okay!|Sure thing!"
i see,"I see, {username}!|Makes sense!|Got it!"
gotcha,"Gotcha, {username}!|Understood!|Alright!"
understood,"Great, {username}!|Perfect.|Got it!"
interesting,"Interesting indeed, {username}!|Glad you think so.|Tell me more!"
i had a good day,"That is wonderful to hear, {username}!|I am glad your day went well!|Nice! Good days are the best."
i had a bad day,"I am sorry your day was rough, {username}. Want to talk about it?|That sounds tough, I am here for you.|Bad days happen, but I am here if you want to talk."
i had an amazing day,"That is fantastic, {username}! I am happy for you!|Awesome! Tell me what made it so great!|Love to hear that!"
i had a long day,"Sounds exhausting, {username}. Want toab out it?|Long days can be rough, take it easy.|I hope you get some rest."
i had a stressful day,"I am sorry to hear that, {username}. Want to share what happened?|That sounds stressful, I am here for you.|We can talk it out if you want."
my day was good,"Glad to hear your day was good, {username}!|That is nice!|Awesome, happy for you."
my day was bad,"I am sorry your day was bad, {username}.|That sounds rough, I am here if you want to talk.|I hope tomorrow is better."
my day was okay,"Okay is better than bad, {username}!|Glad it was at least alright.|Sometimes an okay day is enough."
my day was boring,"Boring days happen, {username}. Want to chat a bit?|We can talk and make it less boring.|At least it was calm, I guess."
my day was fun,"That is great, {username}! I am glad it was fun.|Fun days are the best!|Happy to hear it!"
my day was tiring,"You must be worn out, {username}. Try to rest a bit.|Tiring days can be tough, take it slow.|Make sure to relax."
today was hard,"I am sorry today was hard, {username}. You can talk to me.|That sounds really tough.|I am here if you want to share."
today was great,"Great to hear that, {username}!|Love hearing that!|Awesome, glad your day was great!"
today sucked,"Sorry today was like that, {username}.|I am here if you want to talk.|Bad days happen, but you are not alone."
today was okay,"Okay is still something, {username}.|Glad it was at least alright.|Sometimes okay days are calm ones."
rough day,"That sounds difficult, {username}. Want to talk about it?|I am sorry you had a rough one.|I hope it gets better soon."
good day,"That is great to hear, {username}!|Happy your day went well!|Awesome!"
bad day,"Sorry your day was bad, {username}.|That sounds rough.|I am here if you want to talk."
long day,"Long days can be draining, {username}.|Make sure to rest.|That sounds tiring."
i am having a good day,"Glad to hear it, {username}!|Nice! Enjoy it!|That makes me happy."
i am having a bad day,"I am sorry, {username}. Want to talk about it?|That sounds rough.|I am here for you."
i feel good,"Nice, {username}! I am happy you feel good.|Great to hear that!|Keep that good feeling going!"
i feel bad,"I am sorry you feel that way, {username}.|Want to talk about it?|I am here for you."
i feel awful,"That sounds really tough, {username}. I am here for you.|I am sorry you feel awful.|You can talk to me if you want."
i feel fantastic,"That is amazing, {username}! Love the energy!|So happy for you!|Fantastic indeed!"
i feel normal,"Normal is good sometimes, {username}.|Nothing wrong with feeling normal.|Steady feelings are fine."
i feel weird today,"That happens sometimes, {username}. Want to talk about it?|I get that.|Tell me more."
i feel off,"Sorry you feel off, {username}.|Want to talk about it?|I am here with you."
i feel meh,"Meh happens, {username}.|Understandable.|We can talk if you want."
i am chilling,"Nice, {username}! Chilling is good.|Relaxing is important.|Sounds peaceful."
just hanging out,"Nice, {username}! Same here.|Good time to chat.|Sounds chill."
i am relaxing,"Glad you are relaxing, {username}.|Take it easy.|Enjoy your downtime."
i am resting,"Good, {username}! Rest is important.|Hope you get good rest.|Take it slow."
i am on break,"Nice, {username}! How is it going?|Enjoy your break.|Breaks are important."
i am at work,"Hope your workday is going well, {username}.|Work can be tiring, hang in there.|I hope things go smoothly."
i am at school,"Hope school is going well, {username}!|Hang in there.|I hope you have a good day at school."
i am home,"Nice, {username}! Home is always comfortable.|Good to be home.|Hope you are relaxing."
i just woke up,"Good morning, {username}!|Hope you slept well.|How are you feeling?"
i cannot sleep,"Sorry you cannot sleep, {username}.|That sounds frustrating.|Want to talk while you try to rest?"
i am about to sleep,"Good night, {username}! Sleep well.|Hope you get good rest.|Sweet dreams!"
i feel sick,"I am sorry you feel sick, {username}.|That sounds rough.|I hope you feel better soon."
i do not feel well,"Sorry to hear that, {username}.|I hope you get better soon.|Take it easy."
i need a break,"Breaks are important, {username}.|Take your time.|I understand."
i am overwhelmed today,"I am sorry you feel overwhelmed, {username}.|That is a lot to handle.|I am here if you want to talk."
i am burnt out,"Burnout is tough, {username}. Try to rest.|I am sorry you feel that way.|Take care of yourself."
i feel motivated,"Nice, {username}! Love that energy.|Great to hear you are motivated.|Keep going!"
i feel unmotivated,"That happens sometimes, {username}.|We can talk about it.|I get that feeling."
